CustomerID,Gender,WinLossRatio,Tenure,NumberActiveGames,Platform,PaymentMethod,MonthlySpend,TotalSpend,TimeWindow,Churn
3091-FYHKI,Male,0.052527563,1,1,Facebook,Electronic check,282.0874471,35.45,202207-202209,Yes
2372-HWUHI,Male,0.450745198,2,2,Facebook,Electronic check,225.4791432,81.25,202207-202209,Yes
7799-LGRDP,Female,0.708770916,43,4,Instagram,Credit card (automatic),389.1050584,1188.2,202207-202209,No
7850-VWJUU,Female,0.866248029,23,2,Facebook,Bank transfer (automatic),133.3333333,1778.5,202207-202209,No
3774-VBNXY,Female,0.331562057,64,2,Instagram,Mailed check,495.049505,1277.75,202207-202209,No
6217-KDYWC,Male,0.991387708,57,2,Instagram,Mailed check,510.2040816,1170.55,202207-202209,No
0390-DCFDQ,Female,0.546420159,1,2,Facebook,Mailed check,141.9446416,70.45,202207-202209,Yes
3146-MSEGF,Female,0.672185344,72,4,Instagram,Credit card (automatic),113.5718342,6425.65,202207-202209,No
4080-OGPJL,Female,0.292169125,8,4,Facebook,Electronic check,140.5481377,563.65,202207-202209,Yes
1095-WGNGG,Female,0.89850306,61,4,Instagram,Bank transfer (automatic),98.96091044,5971.25,202207-202209,No
2636-SJDOU,Male,0.190370197,64,4,GoogleAds,Credit card (automatic),118.623962,5289.05,202207-202209,No
1131-QQZEB,Male,0.19197115,71,4,Instagram,Bank transfer (automatic),417.5365344,1756.2,202207-202209,No
5716-EZXZN,Female,0.091779007,65,4,Instagram,Credit card (automatic),100.9591116,6416.7,202207-202209,No
6837-BJYDQ,Male,0.604067728,3,2,GoogleAds,Mailed check,510.2040816,61.35,202207-202209,No
2135-RXIHG,Male,0.064158147,1,2,Facebook,Electronic check,219.0580504,45.65,202207-202209,Yes
6440-DKQGE,Male,0.082660945,30,2,GoogleAds,Credit card (automatic),155.0387597,1929.95,202207-202209,No
3466-BYAVD,Male,0.704283583,15,2,Facebook,Mailed check,143.8848921,1071.4,202207-202209,No
3780-YVMFA,Female,0.919108325,8,2,Facebook,Electronic check,145.8789205,564.35,202207-202209,No
3874-EQOEP,Male,0.06324451,7,4,Facebook,Mailed check,105.2631579,655.5,202207-202209,Yes
1679-JRFBR,Female,0.703983051,70,4,GoogleAds,Credit card (automatic),92.46417013,7930.55,202207-202209,No
9073-ZZIAY,Male,0.390364583,62,2,Instagram,Electronic check,116.1440186,5215.25,202207-202209,No
3077-RSNTJ,Female,0.167599282,6,2,Facebook,Mailed check,507.6142132,113.5,202207-202209,No
6551-GNYDG,Female,0.482582197,14,2,Facebook,Bank transfer (automatic),123.6093943,1152.8,202207-202209,No
9167-APMXZ,Female,0.762403285,22,4,Facebook,Bank transfer (automatic),118.835413,1821.95,202207-202209,No
2749-CTKAJ,Male,0.21795482,22,2,GoogleAds,Mailed check,496.2779156,419.9,202207-202209,No
6371-NZYEG,Male,0.399564539,16,2,Instagram,Mailed check,155.6420233,1024,202207-202209,No
7554-NEWDD,Male,0.737940315,10,4,Instagram,Bank transfer (automatic),389.1050584,251.6,202207-202209,No
8992-VONJD,Female,0.186072929,13,2,Facebook,Electronic check,178.5714286,764.55,202207-202209,No
0867-MKZVY,Female,0.216246305,20,4,Facebook,Electronic check,121.3592233,1592.35,202207-202209,Yes
4482-EWFMI,Female,0.078778924,2,2,Facebook,Electronic check,143.472023,135.2,202207-202209,No
4648-YPBTM,Male,0.355188348,53,4,Instagram,Bank transfer (automatic),135.3179973,3958.25,202207-202209,No
2907-ILJBN,Female,0.412240632,11,2,GoogleAds,Mailed check,485.4368932,233.9,202207-202209,No
6345-FZOQH,Male,0.958525284,69,2,Instagram,Mailed check,502.5125628,1363.45,202207-202209,No
3376-BMGFE,Female,0.248247678,4,2,Facebook,Bank transfer (automatic),141.0437236,273,202207-202209,Yes
5997-OPVFA,Male,0.537096166,72,4,Instagram,Bank transfer (automatic),112.2964627,6254.45,202207-202209,No
3445-HXXGF,Male,0.506295861,58,1,Facebook,Electronic check,220.7505519,2651.2,202207-202209,Yes
1159-WFSGR,Female,0.470164467,16,2,Facebook,Electronic check,490.1960784,321.4,202207-202209,No
7654-YWJUF,Male,0.786720443,43,2,GoogleAds,Bank transfer (automatic),118.694362,3539.25,202207-202209,No
1875-QIVME,Female,0.862870223,2,4,Facebook,Electronic check,95.78544061,242.8,202207-202209,Yes
6727-IOTLZ,Male,0.578161914,14,2,Instagram,Mailed check,122.0256254,1181.75,202207-202209,No
0691-JVSYA,Female,0.791092751,53,2,GoogleAds,Bank transfer (automatic),105.4296257,5000.2,202207-202209,Yes
5918-VUKWP,Female,0.315634842,32,2,GoogleAds,Bank transfer (automatic),486.6180049,654.55,202207-202209,No
1744-JHKYS,Female,0.7446282,34,4,Facebook,Electronic check,404.8582996,780.2,202207-202209,No
2656-FMOKZ,Female,0.99401377,15,4,Facebook,Mailed check,134.3183345,1145.7,202207-202209,Yes
2070-FNEXE,Female,0.447300286,7,2,Facebook,Bank transfer (automatic),130.8044474,503.6,202207-202209,Yes
5947-SGKCL,Female,0.368977144,15,4,Facebook,Bank transfer (automatic),94.92168961,1559.25,202207-202209,No
3712-PKXZA,Male,0.824213254,61,2,GoogleAds,Credit card (automatic),486.6180049,1252,202207-202209,No
6317-YPKDH,Female,0.588429467,1,1,Facebook,Bank transfer (automatic),333.8898164,29.95,202207-202209,Yes
6582-OIVSP,Female,0.324905275,1,2,Facebook,Mailed check,220.7505519,45.3,202207-202209,No
9367-WXLCH,Male,0.015355293,8,4,Facebook,Bank transfer (automatic),118.3431953,662.65,202207-202209,Yes
5524-KHNJP,Male,0.33437286,33,2,GoogleAds,Credit card (automatic),133.7792642,2453.3,202207-202209,No
1918-ZBFQJ,Female,0.478580581,13,2,Facebook,Electronic check,126.1829653,1111.65,202207-202209,Yes
1024-GUALD,Female,0.659252552,1,1,Facebook,Electronic check,403.2258065,24.8,202207-202209,Yes
4827-USJHP,Male,0.712574432,20,2,Facebook,Mailed check,193.0501931,1023.85,202207-202209,No
8167-GJLRN,Male,0.190885917,3,1,Facebook,Electronic check,328.9473684,82.15,202207-202209,No
0956-SYCWG,Female,0.376984688,13,2,GoogleAds,Electronic check,508.9058524,244.8,202207-202209,No
8017-UVSZU,Female,0.537328541,40,4,Facebook,Credit card (automatic),176.6784452,2379.1,202207-202209,No
7100-FQPRV,Male,0.854271001,43,4,GoogleAds,Credit card (automatic),139.0820584,3173.35,202207-202209,No
2472-OVKUP,Male,0.022201564,6,2,Facebook,Electronic check,109.8901099,531,202207-202209,Yes
2984-RGEYA,Female,0.556494883,69,2,Instagram,Bank transfer (automatic),506.3291139,1375.4,202207-202209,No
9680-NIAUV,Female,0.629450758,72,4,Instagram,Credit card (automatic),91.15770283,8129.3,202207-202209,No
2146-EGVDT,Male,0.573266032,59,2,Instagram,Credit card (automatic),518.134715,1192.7,202207-202209,No
2604-IJPDU,Female,0.371219659,20,2,Facebook,Electronic check,103.5732781,1901.65,202207-202209,No
9178-JHUVJ,Male,0.735658095,24,4,Instagram,Bank transfer (automatic),414.9377593,587.4,202207-202209,No
6168-YBYNP,Male,0.905468073,59,4,Facebook,Electronic check,89.80691513,6519.75,202207-202209,No
7255-SSFBC,Male,0.006245314,72,4,Instagram,Bank transfer (automatic),89.08685969,8041.65,202207-202209,No
3645-DEYGF,Male,0.441604449,1,2,Facebook,Mailed check,481.9277108,20.75,202207-202209,No
9323-HGFWY,Female,0.211567804,27,2,GoogleAds,Credit card (automatic),98.13542689,2681.15,202207-202209,No
8544-GOQSH,Female,0.342033948,14,2,Facebook,Credit card (automatic),124.9219238,1112.3,202207-202209,No
3363-DTIVD,Male,0.846417404,71,4,Instagram,Electronic check,94.74182852,7405.5,202207-202209,No
7018-WBJNK,Male,0.715976152,13,2,Facebook,Credit card (automatic),127.7139208,1033.95,202207-202209,No
9142-KZXOP,Male,0.214866358,44,2,Facebook,Credit card (automatic),145.2432825,2958.95,202207-202209,No
7674-YTAFD,Female,0.94306733,33,2,GoogleAds,Bank transfer (automatic),125.0781739,2684.85,202207-202209,No
6348-SNFUS,Male,0.469911565,72,1,Instagram,Credit card (automatic),180.342651,4179.2,202207-202209,No
1285-OKIPP,Male,0.42196617,1,2,Facebook,Electronic check,125.1564456,79.9,202207-202209,Yes
7825-ECJRF,Female,0.278356986,19,2,Facebook,Electronic check,93.80863039,1934.45,202207-202209,Yes
1347-KTTTA,Male,0.025485725,64,2,GoogleAds,Credit card (automatic),97.60858956,6654.1,202207-202209,No
7841-TZDMQ,Male,0.57241659,2,2,Facebook,Credit card (automatic),217.3913043,84.5,202207-202209,Yes
4195-NZGTA,Female,0.944817549,1,1,Facebook,Electronic check,396.039604,25.25,202207-202209,No
7157-SMCFK,Male,0.373272001,61,2,Instagram,Mailed check,506.3291139,1124.2,202207-202209,No
4709-LKHYG,Female,0.554350089,29,2,GoogleAds,Electronic check,500,540.05,202207-202209,No
2504-DSHIH,Male,0.628452795,23,4,Facebook,Electronic check,115.2073733,1975.85,202207-202209,No
0699-NDKJM,Female,0.088174125,57,1,Facebook,Bank transfer (automatic),170.212766,3437.45,202207-202209,No
9286-BHDQG,Male,0.227150221,72,1,Instagram,Credit card (automatic),220.9944751,3139.8,202207-202209,No
0230-WEQUW,Male,0.238865099,66,1,Instagram,Bank transfer (automatic),176.6784452,3789.2,202207-202209,No
2040-LDIWQ,Male,0.587538842,65,4,Instagram,Bank transfer (automatic),118.7648456,5324.5,202207-202209,No
6496-JDSSB,Female,0.312971904,8,2,Facebook,Bank transfer (automatic),125,624.6,202207-202209,No
9408-SSNVZ,Female,0.696378019,4,2,Facebook,Electronic check,142.551675,268.35,202207-202209,Yes
4443-EMBNA,Female,0.105335854,71,4,Instagram,Bank transfer (automatic),404.040404,1836.9,202207-202209,No
6469-MRVET,Male,0.437640916,1,2,GoogleAds,Electronic check,495.049505,20.2,202207-202209,No
0742-MOABM,Male,0.428413187,4,2,Facebook,Mailed check,199.8001998,179.35,202207-202209,Yes
5961-VUSRV,Female,0.115858831,12,2,GoogleAds,Bank transfer (automatic),516.7958656,219.35,202207-202209,No
6778-JFCMK,Male,0.432116502,24,1,GoogleAds,Mailed check,197.6284585,1288.75,202207-202209,No
6341-JVQGF,Female,0.816595551,31,2,GoogleAds,Mailed check,123.228589,2545.75,202207-202209,No
2232-DMLXU,Female,0.384098249,1,2,Facebook,Mailed check,181.1594203,55.2,202207-202209,Yes
4811-JBUVU,Male,0.46529544,30,4,Facebook,Credit card (automatic),111.2347052,2723.15,202207-202209,No
0945-TSONX,Female,0.569783005,47,4,Instagram,Credit card (automatic),117.2332943,4107.25,202207-202209,No
2651-ZCBXV,Male,0.869245406,54,4,Instagram,Credit card (automatic),92.59259259,5760.65,202207-202209,No
3316-UWXUY,Male,0.744473524,50,2,Facebook,Credit card (automatic),106.9518717,4747.5,202207-202209,No
8937-RDTHP,Male,0.575051795,1,2,Facebook,Mailed check,118.2033097,84.6,202207-202209,Yes
7083-MIOPC,Female,0.728755596,72,2,Instagram,Credit card (automatic),493.8271605,1566.9,202207-202209,No
1984-GPTEH,Female,0.749655777,29,4,Facebook,Electronic check,397.6143141,702,202207-202209,No
1251-KRREG,Male,0.385041676,2,4,Facebook,Mailed check,183.8235294,114.1,202207-202209,Yes
0621-JFHOL,Female,0.167260362,10,1,Instagram,Mailed check,337.8378378,299.05,202207-202209,No
9903-LYSAB,Male,0.805120147,18,4,Facebook,Electronic check,136.7053999,1305.95,202207-202209,No
0094-OIFMO,Female,0.197781662,11,2,Facebook,Electronic check,105.2631579,1120.3,202207-202209,Yes
9227-UAQFT,Male,0.588804168,16,2,Instagram,Mailed check,506.3291139,284.35,202207-202209,No
7301-ABVAD,Female,0.996682333,72,4,Instagram,Bank transfer (automatic),115.4734411,6350.5,202207-202209,No
6614-FHDBO,Male,0.076667152,72,4,Instagram,Bank transfer (automatic),91.57509158,7878.3,202207-202209,No
7576-ASEJU,Female,0.157415774,41,2,GoogleAds,Credit card (automatic),133.8688086,3187.65,202207-202209,No
9058-HRZSV,Female,0.914520836,65,2,Facebook,Electronic check,105.9322034,6126.15,202207-202209,No
4522-AKYLR,Female,0.948138129,13,2,Facebook,Electronic check,182.4817518,731.3,202207-202209,No
0221-WMXNQ,Male,0.135421918,4,2,Facebook,Electronic check,132.7140013,273.4,202207-202209,No
0303-UNCIP,Male,0.386222601,41,4,GoogleAds,Mailed check,153.8461538,2531.8,202207-202209,No
9947-OTFQU,Male,0.996225495,15,2,Facebook,Electronic check,134.4086022,1074.3,202207-202209,Yes
0322-YINQP,Male,0.941866902,1,2,Facebook,Mailed check,205.9732235,48.55,202207-202209,Yes
0959-WHOKV,Male,0.714520847,42,4,GoogleAds,Electronic check,101.010101,4298.45,202207-202209,No
4075-JFPGR,Female,0.514569278,51,2,GoogleAds,Electronic check,106.9518717,4619.55,202207-202209,No
4629-NRXKX,Female,0.770118682,2,2,Facebook,Electronic check,142.0454545,147.15,202207-202209,Yes
9514-JDSKI,Male,0.094733964,1,1,Facebook,Electronic check,248.7562189,40.2,202207-202209,Yes
3282-ZISZV,Male,0.016407105,32,4,GoogleAds,Credit card (automatic),119.474313,2633.3,202207-202209,No
3675-YDUPJ,Male,0.34876211,10,2,Facebook,Mailed check,503.7783375,193.05,202207-202209,No
